,lattitude,longitude,Mon Oct  4 09:02:29 2021,Mon Oct  4 09:03:35 2021,Mon Oct  4 09:04:40 2021,Mon Oct  4 09:05:44 2021,Mon Oct  4 09:06:49 2021,Mon Oct  4 09:07:54 2021,Mon Oct  4 09:08:58 2021,Mon Oct  4 09:10:03 2021,Mon Oct  4 09:11:08 2021,Mon Oct  4 09:12:12 2021,Mon Oct  4 09:13:16 2021,Mon Oct  4 09:14:20 2021,Mon Oct  4 09:15:25 2021,Mon Oct  4 09:16:30 2021,Mon Oct  4 09:17:34 2021,Mon Oct  4 09:18:38 2021,Mon Oct  4 09:19:42 2021,Mon Oct  4 09:20:46 2021,Mon Oct  4 09:21:51 2021,Mon Oct  4 09:22:57 2021,Mon Oct  4 09:24:01 2021,Mon Oct  4 09:25:05 2021,Mon Oct  4 09:26:09 2021,Mon Oct  4 09:27:12 2021,Mon Oct  4 09:28:17 2021,Mon Oct  4 09:29:22 2021,Mon Oct  4 09:30:26 2021,Mon Oct  4 09:31:30 2021,Mon Oct  4 09:32:33 2021,Mon Oct  4 09:33:37 2021,Mon Oct  4 09:34:41 2021,Mon Oct  4 09:35:45 2021,Mon Oct  4 09:36:49 2021,Mon Oct  4 09:37:53 2021,Mon Oct  4 09:38:57 2021,Mon Oct  4 09:40:02 2021,Mon Oct  4 09:41:05 2021,Mon Oct  4 09:42:10 2021,Mon Oct  4 09:43:15 2021,Mon Oct  4 09:44:19 2021,Mon Oct  4 09:45:23 2021,Mon Oct  4 09:46:27 2021,Mon Oct  4 09:47:31 2021,Mon Oct  4 09:48:34 2021,Mon Oct  4 09:49:38 2021,Mon Oct  4 09:50:43 2021,Mon Oct  4 09:51:47 2021,Mon Oct  4 09:52:51 2021,Mon Oct  4 09:53:55 2021,Mon Oct  4 09:55:01 2021,Mon Oct  4 09:56:05 2021,Mon Oct  4 09:57:10 2021,Mon Oct  4 09:58:14 2021,Mon Oct  4 09:59:18 2021,Mon Oct  4 10:00:23 2021,Mon Oct  4 10:01:27 2021,Mon Oct  4 10:02:31 2021,Mon Oct  4 10:03:35 2021,Mon Oct  4 10:04:39 2021,Mon Oct  4 10:05:43 2021,Mon Oct  4 10:06:47 2021,Mon Oct  4 10:07:52 2021,Mon Oct  4 10:08:56 2021,Mon Oct  4 10:10:00 2021,Mon Oct  4 10:11:05 2021,Mon Oct  4 10:12:09 2021,Mon Oct  4 10:13:13 2021,Mon Oct  4 10:14:19 2021,Mon Oct  4 10:15:24 2021,Mon Oct  4 10:16:30 2021
Morgan Ave & 14th Pl,41.862378,-87.651062,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Mon Oct  4 10:10:00 2021    10
Name: Morgan Ave & 14th Pl, dtype: int64","Mon Oct  4 10:11:05 2021    10
Name: Morgan Ave & 14th Pl, dtype: int64","Mon Oct  4 10:12:09 2021    10
Name: Morgan Ave & 14th Pl, dtype: int64","Mon Oct  4 10:13:13 2021    10
Name: Morgan Ave & 14th Pl, dtype: int64","Mon Oct  4 10:14:19 2021    10
Name: Morgan Ave & 14th Pl, dtype: int64","Mon Oct  4 10:15:24 2021    10
Name: Morgan Ave & 14th Pl, dtype: int64","Mon Oct  4 10:16:30 2021    10
Name: Morgan Ave & 14th Pl, dtype: int64"
Clybourn Ave & Division St,41.904613,-87.640552,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Mon Oct  4 10:10:00 2021    7
Name: Clybourn Ave & Division St, dtype: int64","Mon Oct  4 10:11:05 2021    7
Name: Clybourn Ave & Division St, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Clybourn Ave & Division St, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Clybourn Ave & Division St, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Clybourn Ave & Division St, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Clybourn Ave & Division St, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Clybourn Ave & Division St, dtype: int64"
Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Dearborn Pkwy & Delaware Pl, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Dearborn Pkwy & Delaware Pl, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Dearborn Pkwy & Delaware Pl, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Dearborn Pkwy & Delaware Pl, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Dearborn Pkwy & Delaware Pl, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Dearborn Pkwy & Delaware Pl, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Dearborn Pkwy & Delaware Pl, dtype: int64"
Clark St & Lincoln Ave,41.915689,-87.6346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Clark St & Lincoln Ave, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Clark St & Lincoln Ave, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Clark St & Lincoln Ave, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Clark St & Lincoln Ave, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Clark St & Lincoln Ave, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Clark St & Lincoln Ave, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Clark St & Lincoln Ave, dtype: int64"
McClurg Ct & Erie St,41.894503,-87.617854,25,25,25,26,26,26,26,26,26,26,25,25,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Mon Oct  4 10:10:00 2021    22
Name: McClurg Ct & Erie St, dtype: int64","Mon Oct  4 10:11:05 2021    22
Name: McClurg Ct & Erie St, dtype: int64","Mon Oct  4 10:12:09 2021    22
Name: McClurg Ct & Erie St, dtype: int64","Mon Oct  4 10:13:13 2021    22
Name: McClurg Ct & Erie St, dtype: int64","Mon Oct  4 10:14:19 2021    22
Name: McClurg Ct & Erie St, dtype: int64","Mon Oct  4 10:15:24 2021    22
Name: McClurg Ct & Erie St, dtype: int64","Mon Oct  4 10:16:30 2021    22
Name: McClurg Ct & Erie St, dtype: int64"
Sedgwick St & Webster Ave,41.922167,-87.638888,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Sedgwick St & Webster Ave, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Sedgwick St & Webster Ave, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Sedgwick St & Webster Ave, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Sedgwick St & Webster Ave, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Sedgwick St & Webster Ave, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Sedgwick St & Webster Ave, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Sedgwick St & Webster Ave, dtype: int64"
Larrabee St & Webster Ave,41.921822,-87.64414,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Larrabee St & Webster Ave, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Larrabee St & Webster Ave, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Larrabee St & Webster Ave, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Larrabee St & Webster Ave, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Larrabee St & Webster Ave, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Larrabee St & Webster Ave, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Larrabee St & Webster Ave, dtype: int64"
Mies van der Rohe Way & Chestnut St,41.898586,-87.621915,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,5,5,5,5,5,5,5,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Mies van der Rohe Way & Chestnut St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Mies van der Rohe Way & Chestnut St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Mies van der Rohe Way & Chestnut St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Mies van der Rohe Way & Chestnut St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Mies van der Rohe Way & Chestnut St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Mies van der Rohe Way & Chestnut St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Mies van der Rohe Way & Chestnut St, dtype: int64"
Loomis St & Jackson Blvd,41.877945,-87.662007,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,"Mon Oct  4 10:10:00 2021    12
Name: Loomis St & Jackson Blvd, dtype: int64","Mon Oct  4 10:11:05 2021    12
Name: Loomis St & Jackson Blvd, dtype: int64","Mon Oct  4 10:12:09 2021    12
Name: Loomis St & Jackson Blvd, dtype: int64","Mon Oct  4 10:13:13 2021    12
Name: Loomis St & Jackson Blvd, dtype: int64","Mon Oct  4 10:14:19 2021    12
Name: Loomis St & Jackson Blvd, dtype: int64","Mon Oct  4 10:15:24 2021    12
Name: Loomis St & Jackson Blvd, dtype: int64","Mon Oct  4 10:16:30 2021    12
Name: Loomis St & Jackson Blvd, dtype: int64"
Indiana Ave & 26th St,41.845687,-87.622481,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Indiana Ave & 26th St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Indiana Ave & 26th St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Indiana Ave & 26th St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Indiana Ave & 26th St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Indiana Ave & 26th St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Indiana Ave & 26th St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Indiana Ave & 26th St, dtype: int64"
State St & 33rd St,41.834734,-87.625813,14,14,14,14,14,13,11,10,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"Mon Oct  4 10:10:00 2021    11
Name: State St & 33rd St, dtype: int64","Mon Oct  4 10:11:05 2021    11
Name: State St & 33rd St, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: State St & 33rd St, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: State St & 33rd St, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: State St & 33rd St, dtype: int64","Mon Oct  4 10:15:24 2021    12
Name: State St & 33rd St, dtype: int64","Mon Oct  4 10:16:30 2021    12
Name: State St & 33rd St, dtype: int64"
Calumet Ave & 33rd St,41.8349,-87.61793,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Calumet Ave & 33rd St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Calumet Ave & 33rd St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Calumet Ave & 33rd St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Calumet Ave & 33rd St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Calumet Ave & 33rd St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Calumet Ave & 33rd St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Calumet Ave & 33rd St, dtype: int64"
Fort Dearborn Dr & 31st St,41.838556,-87.608218,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Mon Oct  4 10:10:00 2021    7
Name: Fort Dearborn Dr & 31st St, dtype: int64","Mon Oct  4 10:11:05 2021    7
Name: Fort Dearborn Dr & 31st St, dtype: int64","Mon Oct  4 10:12:09 2021    7
Name: Fort Dearborn Dr & 31st St, dtype: int64","Mon Oct  4 10:13:13 2021    7
Name: Fort Dearborn Dr & 31st St, dtype: int64","Mon Oct  4 10:14:19 2021    7
Name: Fort Dearborn Dr & 31st St, dtype: int64","Mon Oct  4 10:15:24 2021    7
Name: Fort Dearborn Dr & 31st St, dtype: int64","Mon Oct  4 10:16:30 2021    7
Name: Fort Dearborn Dr & 31st St, dtype: int64"
Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Lincoln Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Lincoln Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Lincoln Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Lincoln Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Lincoln Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Lincoln Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Lincoln Ave & Diversey Pkwy, dtype: int64"
Southport Ave & Wellington Ave,41.935733,-87.663576,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Mon Oct  4 10:10:00 2021    10
Name: Southport Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:11:05 2021    10
Name: Southport Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:12:09 2021    10
Name: Southport Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:13:13 2021    10
Name: Southport Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:14:19 2021    10
Name: Southport Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:15:24 2021    10
Name: Southport Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:16:30 2021    10
Name: Southport Ave & Wellington Ave, dtype: int64"
Southport Ave & Belmont Ave,41.939477,-87.663747,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,9,9,9,9,9,9,"Mon Oct  4 10:10:00 2021    9
Name: Southport Ave & Belmont Ave, dtype: int64","Mon Oct  4 10:11:05 2021    9
Name: Southport Ave & Belmont Ave, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Southport Ave & Belmont Ave, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Southport Ave & Belmont Ave, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Southport Ave & Belmont Ave, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Southport Ave & Belmont Ave, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Southport Ave & Belmont Ave, dtype: int64"
Clark St & Wellington Ave,41.936496,-87.647538,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Mon Oct  4 10:10:00 2021    11
Name: Clark St & Wellington Ave, dtype: int64","Mon Oct  4 10:11:05 2021    11
Name: Clark St & Wellington Ave, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: Clark St & Wellington Ave, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: Clark St & Wellington Ave, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: Clark St & Wellington Ave, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: Clark St & Wellington Ave, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: Clark St & Wellington Ave, dtype: int64"
DuSable Lake Shore Dr & Wellington Ave,41.936688,-87.636829,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,"Mon Oct  4 10:10:00 2021    11
Name: DuSable Lake Shore Dr & Wellington Ave, dtype: int64","Mon Oct  4 10:11:05 2021    11
Name: DuSable Lake Shore Dr & Wellington Ave, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: DuSable Lake Shore Dr & Wellington Ave, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: DuSable Lake Shore Dr & Wellington Ave, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: DuSable Lake Shore Dr & Wellington Ave, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: DuSable Lake Shore Dr & Wellington Ave, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: DuSable Lake Shore Dr & Wellington Ave, dtype: int64"
Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Milwaukee Ave & Wabansia Ave, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Milwaukee Ave & Wabansia Ave, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Milwaukee Ave & Wabansia Ave, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Milwaukee Ave & Wabansia Ave, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Milwaukee Ave & Wabansia Ave, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Milwaukee Ave & Wabansia Ave, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Milwaukee Ave & Wabansia Ave, dtype: int64"
Claremont Ave & Hirsch St,41.907781,-87.685854,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Claremont Ave & Hirsch St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Claremont Ave & Hirsch St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Claremont Ave & Hirsch St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Claremont Ave & Hirsch St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Claremont Ave & Hirsch St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Claremont Ave & Hirsch St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Claremont Ave & Hirsch St, dtype: int64"
Campbell Ave & North Ave,41.910535,-87.689556,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    5
Name: Campbell Ave & North Ave, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Campbell Ave & North Ave, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Campbell Ave & North Ave, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Campbell Ave & North Ave, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Campbell Ave & North Ave, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Campbell Ave & North Ave, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Campbell Ave & North Ave, dtype: int64"
Damen Ave & Wellington Ave,41.93588,-87.67842,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Damen Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Damen Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Damen Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Damen Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Damen Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Damen Ave & Wellington Ave, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Damen Ave & Wellington Ave, dtype: int64"
Damen Ave & Clybourn Ave,41.931931,-87.677856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Damen Ave & Clybourn Ave, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Damen Ave & Clybourn Ave, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Damen Ave & Clybourn Ave, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Damen Ave & Clybourn Ave, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Damen Ave & Clybourn Ave, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Damen Ave & Clybourn Ave, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Damen Ave & Clybourn Ave, dtype: int64"
Franklin St & Lake St,41.885837,-87.6355,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,"Mon Oct  4 10:10:00 2021    27
Name: Franklin St & Lake St, dtype: int64","Mon Oct  4 10:11:05 2021    27
Name: Franklin St & Lake St, dtype: int64","Mon Oct  4 10:12:09 2021    27
Name: Franklin St & Lake St, dtype: int64","Mon Oct  4 10:13:13 2021    27
Name: Franklin St & Lake St, dtype: int64","Mon Oct  4 10:14:19 2021    27
Name: Franklin St & Lake St, dtype: int64","Mon Oct  4 10:15:24 2021    27
Name: Franklin St & Lake St, dtype: int64","Mon Oct  4 10:16:30 2021    27
Name: Franklin St & Lake St, dtype: int64"
Clark St & Grace St,41.95078,-87.659172,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Mon Oct  4 10:10:00 2021    8
Name: Clark St & Grace St, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Clark St & Grace St, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Clark St & Grace St, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Clark St & Grace St, dtype: int64","Mon Oct  4 10:14:19 2021    9
Name: Clark St & Grace St, dtype: int64","Mon Oct  4 10:15:24 2021    9
Name: Clark St & Grace St, dtype: int64","Mon Oct  4 10:16:30 2021    9
Name: Clark St & Grace St, dtype: int64"
Ashland Ave & Wrightwood Ave,41.92883,-87.668507,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,"Mon Oct  4 10:10:00 2021    12
Name: Ashland Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:11:05 2021    12
Name: Ashland Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:12:09 2021    12
Name: Ashland Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:13:13 2021    12
Name: Ashland Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:14:19 2021    12
Name: Ashland Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:15:24 2021    12
Name: Ashland Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:16:30 2021    12
Name: Ashland Ave & Wrightwood Ave, dtype: int64"
Damen Ave & Coulter St,41.8492,-87.67564,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Damen Ave & Coulter St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Damen Ave & Coulter St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Damen Ave & Coulter St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Damen Ave & Coulter St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Damen Ave & Coulter St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Damen Ave & Coulter St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Damen Ave & Coulter St, dtype: int64"
