,lattitude,longitude,Sun Sep 12 11:19:40 2021,Sun Sep 12 11:20:43 2021,Sun Sep 12 11:21:46 2021,Sun Sep 12 11:22:48 2021,Sun Sep 12 11:23:51 2021,Sun Sep 12 11:24:54 2021,Sun Sep 12 11:25:57 2021,Sun Sep 12 11:27:01 2021,Sun Sep 12 11:28:05 2021,Sun Sep 12 11:29:08 2021,Sun Sep 12 11:30:11 2021,Sun Sep 12 11:31:15 2021,Sun Sep 12 11:32:18 2021,Sun Sep 12 11:33:24 2021,Sun Sep 12 11:34:27 2021,Sun Sep 12 11:35:30 2021,Sun Sep 12 11:36:33 2021,Sun Sep 12 11:37:36 2021,Sun Sep 12 11:38:40 2021,Sun Sep 12 11:39:42 2021,Sun Sep 12 11:40:46 2021,Sun Sep 12 11:41:49 2021,Sun Sep 12 11:42:52 2021,Sun Sep 12 11:43:55 2021,Sun Sep 12 11:44:58 2021,Sun Sep 12 11:46:01 2021,Sun Sep 12 11:47:05 2021,Sun Sep 12 11:48:08 2021,Sun Sep 12 11:49:11 2021,Sun Sep 12 11:50:14 2021,Sun Sep 12 11:51:17 2021,Sun Sep 12 11:52:20 2021,Sun Sep 12 11:53:23 2021,Sun Sep 12 11:54:26 2021,Sun Sep 12 11:55:31 2021,Sun Sep 12 11:56:34 2021,Sun Sep 12 11:57:37 2021,Sun Sep 12 11:58:40 2021,Sun Sep 12 11:59:44 2021,Sun Sep 12 12:00:47 2021,Sun Sep 12 12:01:50 2021,Sun Sep 12 12:02:53 2021,Sun Sep 12 12:03:56 2021,Sun Sep 12 12:04:59 2021,Sun Sep 12 12:06:02 2021,Sun Sep 12 12:07:04 2021,Sun Sep 12 12:08:07 2021,Sun Sep 12 12:09:10 2021,Sun Sep 12 12:10:14 2021,Sun Sep 12 12:11:18 2021,Sun Sep 12 12:12:21 2021,Sun Sep 12 12:13:24 2021,Sun Sep 12 12:14:27 2021,Sun Sep 12 12:15:30 2021,Sun Sep 12 12:16:32 2021,Sun Sep 12 12:17:35 2021,Sun Sep 12 12:18:38 2021,Sun Sep 12 12:19:41 2021,Sun Sep 12 12:20:44 2021,Sun Sep 12 12:21:47 2021
Clark St & Armitage Ave,41.918306,-87.636282,4,4,3,3,3,3,3,3,4,4,4,4,4,3,1,2,2,2,2,2,2,4,4,3,3,3,2,1,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,5,4,5,5,4,3,3,1,2,2,2,2,2,2,3,3,3
Stony Island Ave & 64th St,41.778881,-87.586647,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Desplaines St & Randolph St,41.884616,-87.64457,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,6,7,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5
Field Museum,41.865312,-87.617867,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
LaSalle St & Washington St,41.882664,-87.63253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
DuSable Lake Shore Dr & Ohio St,41.89257,-87.614492,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,5,5,5,4,4,4,3,3,1,2,2,2,2,3,3,3,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,5,5,6,6,6,6
Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,7,7,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,0
63rd St Beach,41.78091,-87.576323,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
Stony Island Ave & 67th St,41.773458,-87.585339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clinton St & Polk St,41.871466,-87.640949,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
State St & Pearson St,41.897448,-87.628722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3
Desplaines St & Jackson Blvd,41.878118,-87.643947,20,20,21,20,20,20,20,20,20,20,20,20,20,21,19,19,19,19,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,23,23,23,23,22,21,21,21,21,21,21,21,20,20,20,20,20,20,19,18,18,18
Halsted St & Polk St,41.87184,-87.64664,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
900 W Harrison St,41.874754,-87.649807,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dearborn St & Erie St,41.893992,-87.629318,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,4,4,4,4,5,4,6,6,6
Sedgwick St & Huron St,41.894666,-87.638437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green St & Randolph St,41.883668,-87.64867,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,4,4,5,5,6,6,8,6,6,5,3,5,5,5,4,4,4,5,5,5,5,5,5,5
Bissell St & Armitage Ave,41.91844,-87.65222,5,5,5,5,5,6,6,6,4,4,7,9,9,10,10,10,10,11,11,11,11,10,11,11,11,11,11,11,11,11,12,12,12,12,13,13,13,14,14,14,14,14,13,13,13,13,14,14,13,13,13,13,13,14,14,14,14,14,13,12
Sheffield Ave & Waveland Ave,41.949399,-87.654529,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,44,44,43,43,42,42,42,42,42,42,41,41,41,42,43,43,43,43,43,43,43,43,46,47,48,48,49,49,49,49,49,49,50,50,49,49,50,49,49,49,49,49
Sheffield Ave & Wellington Ave,41.936266,-87.652662,10,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,7,8,8,8,6,5,5,5,3,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0
Western Ave & Winnebago Ave,41.91552,-87.687022,11,10,10,10,10,10,9,8,8,8,8,8,8,9,9,9,9,9,9,9,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Wilton Ave & Belmont Ave,41.94018,-87.65304,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3,3,5,6,5,5,5,4,5,5,5,5,5,6,6,6,6,6,6,7,6,6,7,7,7,7,7,8,8,9
Sedgwick St & North Ave,41.911386,-87.638677,1,1,1,1,1,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3
Ashland Ave & Lake St,41.88592,-87.66717,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
Wentworth Ave & Cermak Rd,41.853084,-87.631931,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,12,12,12,11,11,11,12,12,11,11,11,11,11,14,14,14,13,13,13,13,13,14,14,14,15,14,14,14,14,14,14,14,14,14,13,12,10
Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ogden Ave & Congress Pkwy,41.87501,-87.67328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
California Ave & Milwaukee Ave,41.922695,-87.697153,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,5,4,5,5,5,5,5,5,5
Damen Ave & Cullerton St,41.854966,-87.675699,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Rush St & Hubbard St,41.890173,-87.626185,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Clark St & North Ave,41.911974,-87.631942,3,3,4,4,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Ave & Fullerton Ave,41.925905,-87.64926,8,8,8,9,9,8,8,8,9,10,11,11,10,8,8,8,8,8,9,6,6,5,5,6,6,7,6,6,6,6,7,7,7,7,6,6,7,7,7,7,7,8,8,6,4,5,6,7,6,5,4,4,4,5,5,5,5,5,5,5
Damen Ave & Chicago Ave,41.895769,-87.67722,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Blue Island Ave & 18th St,41.857556,-87.661535,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Damen Ave & Division St,41.903266,-87.678435,10,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,9,9,10,10,11,11,11,12,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15
Lincoln Ave & Belmont Ave,41.939365,-87.668385,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7
Wentworth Ave & 24th St (Temp),41.850083,-87.63214,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Kingsbury St & Kinzie St,41.889176,-87.638505,7,8,8,8,8,7,6,5,5,7,6,4,5,6,6,5,5,6,6,6,6,6,6,6,6,6,5,4,4,5,5,5,5,3,3,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,2,2,2,2,2
Peoria St & Jackson Blvd,41.877641,-87.649617,5,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halsted St & 21st St,41.853779,-87.646602,9,9,9,9,9,9,9,9,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Racine Ave & 13th St,41.865054,-87.656959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Morgan Ave & 14th Pl,41.862378,-87.651062,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3
Clybourn Ave & Division St,41.904613,-87.640552,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,0,0,1,1,1,1,1,1,1,1,2,2,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2
Clark St & Lincoln Ave,41.915689,-87.6346,4,4,3,4,4,4,3,3,2,1,2,2,2,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,2
McClurg Ct & Erie St,41.894503,-87.617854,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sedgwick St & Webster Ave,41.922167,-87.638888,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,6,5,6,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larrabee St & Webster Ave,41.921822,-87.64414,3,4,4,3,4,5,6,6,6,6,6,5,5,5,6,5,5,5,5,4,4,4,4,5,5,5,6,6,5,5,4,4,3,3,4,2,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mies van der Rohe Way & Chestnut St,41.898586,-87.621915,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0
Loomis St & Jackson Blvd,41.877945,-87.662007,3,3,3,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana Ave & 26th St,41.845687,-87.622481,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
State St & 33rd St,41.834734,-87.625813,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Calumet Ave & 33rd St,41.8349,-87.61793,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
Fort Dearborn Dr & 31st St,41.838556,-87.608218,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,5,5,5,4,4,3,3,2,1,1,0,1,1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2
Southport Ave & Wellington Ave,41.935733,-87.663576,8,8,6,6,5,5,5,5,4,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1,1
Southport Ave & Belmont Ave,41.939477,-87.663747,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4
Clark St & Wellington Ave,41.936496,-87.647538,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,1,1,2,2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
DuSable Lake Shore Dr & Wellington Ave,41.936688,-87.636829,9,9,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,9,9,7,4,5,3,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,10,8,8,8,8,8,8,8,8,8,7,6,7,7,7,9,9
Claremont Ave & Hirsch St,41.907781,-87.685854,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Campbell Ave & North Ave,41.910535,-87.689556,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
Rush St & Superior St,41.895764,-87.625908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,3,3,4,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,3,3,4,4,4,2
Damen Ave & Wellington Ave,41.93588,-87.67842,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Damen Ave & Clybourn Ave,41.931931,-87.677856,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1,0,0,0,1,1
Franklin St & Lake St,41.885837,-87.6355,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
Clark St & Grace St,41.95078,-87.659172,0,1,1,1,1,1,1,1,3,3,2,2,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Ashland Ave & Wrightwood Ave,41.92883,-87.668507,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,2,0,1,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Damen Ave & Coulter St,41.8492,-87.67564,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Michigan Ave & 14th St,41.864059,-87.623727,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canal St & Harrison St,41.874255,-87.639573,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Clinton St & 18th St,41.85795,-87.640826,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
May St & Cullerton St,41.855136,-87.654127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rush St & Cedar St,41.902308,-87.62769,0,0,0,0,1,1,1,1,1,1,1,0,2,6,6,6,5,5,5,5,4,4,4,3,2,1,3,3,3,3,3,4,4,4,6,6,4,5,5,5,5,5,4,4,4,5,5,5,5,5,4,4,6,6,7,7,8,8,8,8
Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canal St & Madison St,41.882091,-87.639833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wells St & Polk St,41.872596,-87.633502,8,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,8,8,8,8,8,10,10,10,9,9,9,8,8,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10
Clark St & Elm St,41.902973,-87.63128,1,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,1,1,1,1,1,0,0,0,1,1,1,1,2,2,2,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0
Theater on the Lake,41.926277,-87.630834,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,22,22,21,20,20,21,21,20,21,22,23,22,21,22,22,21,23,23,23,23,23,23,22,21,20,19,18,19,19,18,18,18,17,16,16,16,15,14,15
State St & 19th St,41.856594,-87.627542,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MLK Jr Dr & Pershing Rd,41.8246,-87.61678,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Ritchie Ct & Banks St,41.906866,-87.626217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,3,3,3,3,3
LaSalle St & Illinois St,41.890762,-87.631697,4,3,3,2,1,1,2,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,1,1,1,3,3,3
Wells St & Elm St,41.903222,-87.634324,4,5,3,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,1,2,2,4,4,4,5,5,6,6,6,6,5,6,6,7,8,6,4,3,2,2,2
Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,3,3,3
State St & 35th St,41.831036,-87.626797,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Stave St & Armitage Ave,41.917741,-87.691392,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8
Ogden Ave & Race Ave,41.891795,-87.658751,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
Greenview Ave & Fullerton Ave,41.92533,-87.6658,2,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
